drop_ratio,edge_util_std,frac_hot_switches,frac_saturated_edges,jain_fairness,max_edge_util,mean_edge_util,mean_hops,mean_latency,mean_switch_util,offered_load,p50_flow_rate,p95_flow_rate,p95_switch_util,policy,rate,sum_edge_cap,sum_edge_load,switch_util_gini,switch_util_std,throughput,topk_edge_load_share,topology,traffic_weighted_util,workload
0.1563,0.3179,0.3661,0.0653,0.8371,2.3961,0.3237,2.9983,3.9983,0.7536,3315705.4979,3.5943,5.9365,1.4588,eigrp_ecmp_configuration,20,40960000.0,13256937.5348,0.3098,0.4093,2797410.764,0.0005,leaf_spine,0.3237,local_group_workload
0.5011,0.6358,0.717,0.157,0.881,4.7922,0.6473,2.9983,3.9983,1.5072,6631410.9957,4.116,6.6334,2.9175,eigrp_ecmp_configuration,40,40960000.0,26513875.0695,0.3098,0.8186,3308578.7056,0.0005,leaf_spine,0.6473,local_group_workload
0.1563,0.3278,0.3661,0.0654,0.8371,2.3961,0.3237,2.9983,3.9983,0.7536,3315705.4979,3.5943,5.9364,1.4588,ospf_drill_configuration,20,40960000.0,13256937.5348,0.3098,0.4093,2797389.5946,0.0005,leaf_spine,0.3237,local_group_workload
0.5011,0.6557,0.717,0.1815,0.8811,4.7922,0.6473,2.9983,3.9983,1.5072,6631410.9957,4.116,6.6329,2.9175,ospf_drill_configuration,40,40960000.0,26513875.0695,0.3098,0.8186,3308472.103,0.0005,leaf_spine,0.6473,local_group_workload
0.1563,0.3197,0.3661,0.0653,0.8371,2.3961,0.3237,2.9983,3.9983,0.7536,3315705.4979,3.5943,5.9365,1.4588,eigrp_drill_configuration,20,40960000.0,13256937.5348,0.3098,0.4093,2797410.5725,0.0005,leaf_spine,0.3237,local_group_workload
0.5011,0.6393,0.717,0.1622,0.881,4.7922,0.6473,2.9983,3.9983,1.5072,6631410.9957,4.116,6.6334,2.9175,eigrp_drill_configuration,40,40960000.0,26513875.0695,0.3098,0.8186,3308577.2314,0.0005,leaf_spine,0.6473,local_group_workload
0.1563,0.3171,0.3646,0.0652,0.8373,2.8018,0.3231,2.9981,3.9981,0.7523,3310044.1953,3.5912,5.9186,1.4571,conga_configuration,20,40960000.0,13233693.087,0.3099,0.4087,2792818.1111,0.0006,informed_leaf_spine,0.3231,random_workload
0.5012,0.6342,0.7162,0.1572,0.8816,5.6035,0.6462,2.9981,3.9981,1.5046,6620088.3906,4.1165,6.6072,2.9142,conga_configuration,40,40960000.0,26467386.1739,0.3099,0.8174,3302033.4796,0.0006,informed_leaf_spine,0.6462,random_workload
0.9226,0.7812,0.0057,0.0133,0.1628,32.9671,0.0779,4.8068,5.7793,0.0785,331092.1086,0.0215,0.0358,0.0505,ospf_drill_configuration,2,24576000.0,1913709.5014,0.9688,1.2069,25611.2538,0.0522,fat_tree,0.0779,incast
0.9676,8.7686,0.0238,0.0362,0.0309,329.6711,0.7787,4.8068,5.7793,0.785,3310921.0858,0.0215,0.0359,0.2051,ospf_drill_configuration,20,24576000.0,19137095.0139,0.9723,12.076,107168.387,0.0522,fat_tree,0.7787,incast
0.2011,0.3851,0.4168,0.3217,0.853,2.8018,0.7991,4.9334,5.9334,0.8067,3310044.1953,3.4481,5.3799,1.4528,ospf_drill_configuration,20,24576000.0,19639662.0391,0.2771,0.3913,2644305.6278,0.0004,fat_tree,0.7991,random_workload
0.0433,0.039,0.001,0.0003,0.8139,1.5806,0.0027,2.2771,3.2485,0.0045,20591.6892,0.2025,0.3458,0.0025,ospf_ecmp_configuration,1,24576000.0,66967.3822,0.9882,0.056,19699.1825,0.0564,informed_fat_tree,0.0027,incast
0.8519,1.1389,0.3647,0.0902,0.8844,13.2345,0.3231,2.9981,3.9981,0.7523,3310044.1953,0.608,0.9392,1.4575,rip_configuration,20,40960000.0,13233693.087,0.3115,0.415,490304.6504,0.003,informed_leaf_spine,0.3231,random_workload
0.9259,2.2778,0.7163,0.1738,0.8765,26.4691,0.6462,2.9981,3.9981,1.5046,6620088.3906,0.608,0.9392,2.915,rip_configuration,40,40960000.0,26467386.1739,0.3115,0.83,490815.0168,0.003,informed_leaf_spine,0.6462,random_workload
0.8519,1.1389,0.3647,0.0902,0.8844,13.2345,0.3231,2.9981,3.9981,0.7523,3310044.1953,0.608,0.9392,1.4575,ospf_configuration,20,40960000.0,13233693.087,0.3115,0.415,490304.6504,0.003,informed_leaf_spine,0.3231,random_workload
0.9259,2.2778,0.7163,0.1738,0.8765,26.4691,0.6462,2.9981,3.9981,1.5046,6620088.3906,0.608,0.9392,2.915,ospf_configuration,40,40960000.0,26467386.1739,0.3115,0.83,490815.0168,0.003,informed_leaf_spine,0.6462,random_workload
0.8519,1.1389,0.3647,0.0902,0.8844,13.2345,0.3231,2.9981,3.9981,0.7523,3310044.1953,0.608,0.9392,1.4575,eigrp_configuration,20,40960000.0,13233693.087,0.3115,0.415,490304.6504,0.003,informed_leaf_spine,0.3231,random_workload
